([6, 4], [6, 4])0.46808510638297873
([1, 1], [7, 5])0.0
([2, 3], [5, 3])0.0
([0, 2], [9, 5])0.0
([1, 3], [4, 4])0.0
([4, 5], [0, 2])0.0
([1, 0], [8, 5])0.0
([6, 4], [5, 4])0.2021276595744681
([2, 4], [9, 5])0.0
([0, 1], [1, 3])0.0
([5, 3], [1, 1])0.0
([2, 1], [2, 1])0.0736842105263158
([3, 4], [3, 2])0.0
([1, 2], [0, 1])0.0
([5, 5], [7, 4])0.0
([7, 4], [7, 4])0.39999999999999997
([1, 0], [6, 4])0.0
([4, 2], [3, 4])0.0
([3, 1], [2, 4])0.0
([9, 5], [2, 4])0.0
([8, 4], [2, 3])0.0
([6, 3], [4, 4])0.0
([1, 0], [5, 4])0.0
([3, 3], [3, 1])0.0
([8, 4], [0, 0])0.0
([0, 2], [3, 2])0.0
([2, 4], [3, 2])0.0
([5, 3], [6, 5])0.0
([6, 4], [8, 4])0.0
([5, 5], [2, 3])0.0
([6, 5], [7, 5])0.2526315789473684
([2, 1], [2, 4])0.0
([4, 5], [4, 3])0.0
([7, 4], [2, 3])0.0
([5, 3], [5, 5])0.0
([5, 5], [0, 0])0.0
([3, 2], [1, 0])0.0
([0, 0], [0, 2])0.0
([2, 3], [3, 1])0.0
([7, 4], [0, 0])0.0
([1, 1], [7, 4])0.0
([0, 1], [6, 3])0.0
([1, 0], [8, 4])0.0
([3, 3], [3, 4])0.0631578947368421
([5, 3], [3, 3])0.0
([0, 1], [5, 3])0.0
([5, 3], [4, 2])0.0
([1, 3], [1, 1])0.0
([8, 5], [0, 1])0.0
([2, 2], [1, 0])0.0
([6, 4], [1, 2])0.0
([5, 3], [8, 5])0.0
([1, 1], [2, 3])0.0
([5, 4], [7, 5])0.010638297872340424
([2, 3], [3, 4])0.10638297872340427
([1, 1], [0, 0])0.0
([5, 3], [6, 4])0.20833333333333334
([0, 0], [4, 3])0.0
([6, 3], [1, 1])0.0
([1, 0], [1, 2])0.0
([6, 5], [7, 4])0.010526315789473684
([7, 5], [0, 1])0.0
([3, 2], [4, 5])0.0
([1, 3], [6, 5])0.0
([5, 3], [5, 4])0.2604166666666667
([1, 3], [5, 5])0.0
([0, 1], [3, 1])0.0
([4, 2], [9, 5])0.0
([6, 3], [6, 5])0.0
([2, 2], [4, 5])0.0
([1, 3], [3, 3])0.15053763440860216
([6, 5], [2, 3])0.0
([4, 4], [0, 2])0.0
([1, 3], [4, 2])0.0
([6, 3], [5, 5])0.0
([6, 5], [0, 0])0.0
([3, 4], [2, 1])0.0
([5, 3], [8, 4])0.0
([5, 4], [7, 4])0.010638297872340424
([1, 3], [8, 5])0.0
([4, 3], [0, 1])0.0
([6, 3], [3, 3])0.0
([4, 2], [3, 2])0.0851063829787234
([3, 1], [2, 2])0.1276595744680851
([4, 5], [1, 3])0.0
([9, 5], [2, 2])0.0
([0, 2], [2, 1])0.0
([0, 1], [3, 4])0.0
([6, 3], [4, 2])0.0
([3, 2], [4, 4])0.0
([1, 3], [6, 4])0.0
([2, 4], [2, 1])0.0
([3, 3], [9, 5])0.0
([1, 3], [5, 4])0.0
([6, 3], [8, 5])0.0
([3, 4], [2, 4])0.03191489361702127
([5, 4], [2, 3])0.0
([6, 4], [7, 5])0.09574468085106383
([5, 3], [1, 2])0.0
([4, 4], [4, 3])0.021052631578947364
([2, 1], [2, 2])0.3789473684210526
([1, 2], [0, 2])0.020833333333333332
([5, 4], [0, 0])0.0
([6, 3], [6, 4])0.3655913978494624
([2, 2], [4, 4])0.0
([6, 3], [5, 4])0.07526881720430108
([0, 2], [2, 4])0.0
([2, 3], [9, 5])0.0
([1, 0], [7, 5])0.0
([3, 3], [3, 2])0.0
([2, 4], [2, 4])0.24731182795698925
([0, 0], [1, 3])0.0
([1, 3], [8, 4])0.0
([4, 5], [6, 3])0.0
([8, 4], [0, 1])0.0
([4, 5], [5, 3])0.0
([2, 3], [3, 2])0.0
([1, 2], [4, 3])0.0
([6, 3], [8, 4])0.01075268817204301
([5, 5], [0, 1])0.0
([3, 2], [1, 1])0.0
([6, 4], [7, 4])0.13829787234042554
([7, 4], [0, 1])0.0
([1, 3], [1, 2])0.01075268817204301
([8, 5], [0, 2])0.0
([1, 0], [7, 4])0.0
([0, 0], [6, 3])0.0
([2, 2], [1, 1])0.0
([3, 2], [6, 5])0.0
([0, 1], [9, 5])0.0
([6, 4], [2, 3])0.0
([0, 0], [5, 3])0.0
([6, 3], [1, 2])0.0
([4, 5], [3, 1])0.0
([6, 4], [0, 0])0.0
([7, 5], [0, 2])0.0
([3, 2], [5, 5])0.0
([1, 1], [0, 1])0.03125
([5, 3], [7, 5])0.0
([4, 2], [2, 1])0.0
([1, 0], [2, 3])0.0
([4, 4], [1, 3])0.0
([2, 2], [6, 5])0.0
([3, 2], [3, 3])0.26041666666666663
([1, 0], [0, 0])0.0
([8, 5], [4, 3])0.0
([0, 1], [3, 2])0.0
([3, 2], [4, 2])0.07291666666666666
([2, 2], [5, 5])0.0
([4, 5], [3, 4])0.06382978723404255
([3, 2], [8, 5])0.0
([3, 4], [2, 2])0.0
([3, 1], [1, 0])0.0
([2, 2], [3, 3])0.2736842105263158
([7, 5], [4, 3])0.0
([9, 5], [1, 0])0.0
([4, 2], [2, 4])0.0
([0, 0], [3, 1])0.0
([3, 2], [6, 4])0.0
([2, 2], [4, 2])0.010526315789473686
([6, 5], [0, 1])0.0
([4, 3], [0, 2])0.0
([3, 3], [2, 1])0.0
([0, 2], [2, 2])0.10638297872340427
([3, 2], [5, 4])0.0
([5, 3], [7, 4])0.010416666666666668
([2, 2], [8, 5])0.0
([1, 2], [1, 3])0.05208333333333333
([2, 4], [2, 2])0.0
([4, 4], [6, 3])0.0
([2, 1], [1, 0])0.0
([1, 3], [7, 5])0.0
([2, 2], [6, 4])0.0
([4, 4], [5, 3])0.0
([2, 3], [2, 1])0.0
([2, 2], [5, 4])0.0
([0, 0], [3, 4])0.0
([3, 3], [2, 4])0.0
([3, 2], [8, 4])0.0
