[0, 0][0, 0]0.21
[0, 0][0, 1]0.29
[0, 0][0, 2]0.0
[0, 0][1, 0]0.03
[0, 0][1, 1]0.38
[0, 0][1, 2]0.0
[0, 0][1, 3]0.0
[0, 0][2, 1]0.05
[0, 0][2, 2]0.0
[0, 0][2, 3]0.0
[0, 0][2, 4]0.0
[0, 0][3, 1]0.0
[0, 0][3, 2]0.0
[0, 0][3, 3]0.0
[0, 0][3, 4]0.0
[0, 0][4, 2]0.0
[0, 0][4, 3]0.0
[0, 0][4, 4]0.0
[0, 0][4, 5]0.0
[0, 0][5, 3]0.0
[0, 0][5, 4]0.0
[0, 0][5, 5]0.0
[0, 0][6, 3]0.0
[0, 0][6, 4]0.0
[0, 0][6, 5]0.0
[0, 0][7, 4]0.0
[0, 0][7, 5]0.0
[0, 0][8, 4]0.0
[0, 0][8, 5]0.0
[0, 0][9, 5]0.0
[0, 1][0, 0]0.0
[0, 1][0, 1]0.19
[0, 1][0, 2]0.07
[0, 1][1, 0]0.0
[0, 1][1, 1]0.26
[0, 1][1, 2]0.25
[0, 1][1, 3]0.0
[0, 1][2, 1]0.04
[0, 1][2, 2]0.15
[0, 1][2, 3]0.0
[0, 1][2, 4]0.0
[0, 1][3, 1]0.0
[0, 1][3, 2]0.0
[0, 1][3, 3]0.0
[0, 1][3, 4]0.0
[0, 1][4, 2]0.0
[0, 1][4, 3]0.0
[0, 1][4, 4]0.0
[0, 1][4, 5]0.0
[0, 1][5, 3]0.0
[0, 1][5, 4]0.0
[0, 1][5, 5]0.0
[0, 1][6, 3]0.0
[0, 1][6, 4]0.0
[0, 1][6, 5]0.0
[0, 1][7, 4]0.0
[0, 1][7, 5]0.0
[0, 1][8, 4]0.0
[0, 1][8, 5]0.0
[0, 1][9, 5]0.0
[0, 2][0, 0]0.0
[0, 2][0, 1]0.0
[0, 2][0, 2]0.21
[0, 2][1, 0]0.0
[0, 2][1, 1]0.0
[0, 2][1, 2]0.39
[0, 2][1, 3]0.14
[0, 2][2, 1]0.0
[0, 2][2, 2]0.1
[0, 2][2, 3]0.1
[0, 2][2, 4]0.0
[0, 2][3, 1]0.0
[0, 2][3, 2]0.0
[0, 2][3, 3]0.0
[0, 2][3, 4]0.0
[0, 2][4, 2]0.0
[0, 2][4, 3]0.0
[0, 2][4, 4]0.0
[0, 2][4, 5]0.0
[0, 2][5, 3]0.0
[0, 2][5, 4]0.0
[0, 2][5, 5]0.0
[0, 2][6, 3]0.0
[0, 2][6, 4]0.0
[0, 2][6, 5]0.0
[0, 2][7, 4]0.0
[0, 2][7, 5]0.0
[0, 2][8, 4]0.0
[0, 2][8, 5]0.0
[0, 2][9, 5]0.0
[1, 0][0, 0]0.0
[1, 0][0, 1]0.05
[1, 0][0, 2]0.0
[1, 0][1, 0]0.0
[1, 0][1, 1]0.41
[1, 0][1, 2]0.0
[1, 0][1, 3]0.0
[1, 0][2, 1]0.37
[1, 0][2, 2]0.05
[1, 0][2, 3]0.0
[1, 0][2, 4]0.0
[1, 0][3, 1]0.03
[1, 0][3, 2]0.03
[1, 0][3, 3]0.0
[1, 0][3, 4]0.0
[1, 0][4, 2]0.0
[1, 0][4, 3]0.0
[1, 0][4, 4]0.0
[1, 0][4, 5]0.0
[1, 0][5, 3]0.0
[1, 0][5, 4]0.0
[1, 0][5, 5]0.0
[1, 0][6, 3]0.0
[1, 0][6, 4]0.0
[1, 0][6, 5]0.0
[1, 0][7, 4]0.0
[1, 0][7, 5]0.0
[1, 0][8, 4]0.0
[1, 0][8, 5]0.0
[1, 0][9, 5]0.0
[1, 1][0, 0]0.0
[1, 1][0, 1]0.03
[1, 1][0, 2]0.01
[1, 1][1, 0]0.0
[1, 1][1, 1]0.17
[1, 1][1, 2]0.17
[1, 1][1, 3]0.0
[1, 1][2, 1]0.11
[1, 1][2, 2]0.37
[1, 1][2, 3]0.0
[1, 1][2, 4]0.0
[1, 1][3, 1]0.0
[1, 1][3, 2]0.1
[1, 1][3, 3]0.0
[1, 1][3, 4]0.0
[1, 1][4, 2]0.0
[1, 1][4, 3]0.0
[1, 1][4, 4]0.0
[1, 1][4, 5]0.0
[1, 1][5, 3]0.0
[1, 1][5, 4]0.0
[1, 1][5, 5]0.0
[1, 1][6, 3]0.0
[1, 1][6, 4]0.0
[1, 1][6, 5]0.0
[1, 1][7, 4]0.0
[1, 1][7, 5]0.0
[1, 1][8, 4]0.0
[1, 1][8, 5]0.0
[1, 1][9, 5]0.0
[1, 2][0, 0]0.0
[1, 2][0, 1]0.0
[1, 2][0, 2]0.02
[1, 2][1, 0]0.0
[1, 2][1, 1]0.0
[1, 2][1, 2]0.24
[1, 2][1, 3]0.05
[1, 2][2, 1]0.0
[1, 2][2, 2]0.32
[1, 2][2, 3]0.19
[1, 2][2, 4]0.0
[1, 2][3, 1]0.0
[1, 2][3, 2]0.05
[1, 2][3, 3]0.09
[1, 2][3, 4]0.0
[1, 2][4, 2]0.0
[1, 2][4, 3]0.0
[1, 2][4, 4]0.0
[1, 2][4, 5]0.0
[1, 2][5, 3]0.0
[1, 2][5, 4]0.0
[1, 2][5, 5]0.0
[1, 2][6, 3]0.0
[1, 2][6, 4]0.0
[1, 2][6, 5]0.0
[1, 2][7, 4]0.0
[1, 2][7, 5]0.0
[1, 2][8, 4]0.0
[1, 2][8, 5]0.0
[1, 2][9, 5]0.0
[1, 3][0, 0]0.0
[1, 3][0, 1]0.0
[1, 3][0, 2]0.0
[1, 3][1, 0]0.0
[1, 3][1, 1]0.0
[1, 3][1, 2]0.01
[1, 3][1, 3]0.23
[1, 3][2, 1]0.0
[1, 3][2, 2]0.0
[1, 3][2, 3]0.45
[1, 3][2, 4]0.06
[1, 3][3, 1]0.0
[1, 3][3, 2]0.0
[1, 3][3, 3]0.14
[1, 3][3, 4]0.04
[1, 3][4, 2]0.0
[1, 3][4, 3]0.0
[1, 3][4, 4]0.0
[1, 3][4, 5]0.0
[1, 3][5, 3]0.0
[1, 3][5, 4]0.0
[1, 3][5, 5]0.0
[1, 3][6, 3]0.0
[1, 3][6, 4]0.0
[1, 3][6, 5]0.0
[1, 3][7, 4]0.0
[1, 3][7, 5]0.0
[1, 3][8, 4]0.0
[1, 3][8, 5]0.0
[1, 3][9, 5]0.0
[2, 1][0, 0]0.0
[2, 1][0, 1]0.0
[2, 1][0, 2]0.0
[2, 1][1, 0]0.0
[2, 1][1, 1]0.03
[2, 1][1, 2]0.04
[2, 1][1, 3]0.0
[2, 1][2, 1]0.07
[2, 1][2, 2]0.36
[2, 1][2, 3]0.0
[2, 1][2, 4]0.0
[2, 1][3, 1]0.02
[2, 1][3, 2]0.38
[2, 1][3, 3]0.0
[2, 1][3, 4]0.0
[2, 1][4, 2]0.05
[2, 1][4, 3]0.0
[2, 1][4, 4]0.0
[2, 1][4, 5]0.0
[2, 1][5, 3]0.0
[2, 1][5, 4]0.0
[2, 1][5, 5]0.0
[2, 1][6, 3]0.0
[2, 1][6, 4]0.0
[2, 1][6, 5]0.0
[2, 1][7, 4]0.0
[2, 1][7, 5]0.0
[2, 1][8, 4]0.0
[2, 1][8, 5]0.0
[2, 1][9, 5]0.0
[2, 2][0, 0]0.0
[2, 2][0, 1]0.0
[2, 2][0, 2]0.0
[2, 2][1, 0]0.0
[2, 2][1, 1]0.0
[2, 2][1, 2]0.04
[2, 2][1, 3]0.0
[2, 2][2, 1]0.0
[2, 2][2, 2]0.26
[2, 2][2, 3]0.12
[2, 2][2, 4]0.0
[2, 2][3, 1]0.0
[2, 2][3, 2]0.19
[2, 2][3, 3]0.26
[2, 2][3, 4]0.0
[2, 2][4, 2]0.01
[2, 2][4, 3]0.07
[2, 2][4, 4]0.0
[2, 2][4, 5]0.0
[2, 2][5, 3]0.0
[2, 2][5, 4]0.0
[2, 2][5, 5]0.0
[2, 2][6, 3]0.0
[2, 2][6, 4]0.0
[2, 2][6, 5]0.0
[2, 2][7, 4]0.0
[2, 2][7, 5]0.0
[2, 2][8, 4]0.0
[2, 2][8, 5]0.0
[2, 2][9, 5]0.0
[2, 3][0, 0]0.0
[2, 3][0, 1]0.0
[2, 3][0, 2]0.0
[2, 3][1, 0]0.0
[2, 3][1, 1]0.0
[2, 3][1, 2]0.0
[2, 3][1, 3]0.03
[2, 3][2, 1]0.0
[2, 3][2, 2]0.0
[2, 3][2, 3]0.3
[2, 3][2, 4]0.02
[2, 3][3, 1]0.0
[2, 3][3, 2]0.0
[2, 3][3, 3]0.38
[2, 3][3, 4]0.1
[2, 3][4, 2]0.0
[2, 3][4, 3]0.06
[2, 3][4, 4]0.05
[2, 3][4, 5]0.0
[2, 3][5, 3]0.0
[2, 3][5, 4]0.0
[2, 3][5, 5]0.0
[2, 3][6, 3]0.0
[2, 3][6, 4]0.0
[2, 3][6, 5]0.0
[2, 3][7, 4]0.0
[2, 3][7, 5]0.0
[2, 3][8, 4]0.0
[2, 3][8, 5]0.0
[2, 3][9, 5]0.0
[2, 4][0, 0]0.0
[2, 4][0, 1]0.0
[2, 4][0, 2]0.0
[2, 4][1, 0]0.0
[2, 4][1, 1]0.0
[2, 4][1, 2]0.0
[2, 4][1, 3]0.01
[2, 4][2, 1]0.0
[2, 4][2, 2]0.0
[2, 4][2, 3]0.06
[2, 4][2, 4]0.23
[2, 4][3, 1]0.0
[2, 4][3, 2]0.0
[2, 4][3, 3]0.01
[2, 4][3, 4]0.49
[2, 4][4, 2]0.0
[2, 4][4, 3]0.0
[2, 4][4, 4]0.13
[2, 4][4, 5]0.0
[2, 4][5, 3]0.0
[2, 4][5, 4]0.0
[2, 4][5, 5]0.0
[2, 4][6, 3]0.0
[2, 4][6, 4]0.0
[2, 4][6, 5]0.0
[2, 4][7, 4]0.0
[2, 4][7, 5]0.0
[2, 4][8, 4]0.0
[2, 4][8, 5]0.0
[2, 4][9, 5]0.0
[3, 1][0, 0]0.0
[3, 1][0, 1]0.0
[3, 1][0, 2]0.0
[3, 1][1, 0]0.0
[3, 1][1, 1]0.0
[3, 1][1, 2]0.0
[3, 1][1, 3]0.0
[3, 1][2, 1]0.03
[3, 1][2, 2]0.12
[3, 1][2, 3]0.0
[3, 1][2, 4]0.0
[3, 1][3, 1]0.03
[3, 1][3, 2]0.48
[3, 1][3, 3]0.0
[3, 1][3, 4]0.0
[3, 1][4, 2]0.25
[3, 1][4, 3]0.02
[3, 1][4, 4]0.0
[3, 1][4, 5]0.0
[3, 1][5, 3]0.01
[3, 1][5, 4]0.0
[3, 1][5, 5]0.0
[3, 1][6, 3]0.0
[3, 1][6, 4]0.0
[3, 1][6, 5]0.0
[3, 1][7, 4]0.0
[3, 1][7, 5]0.0
[3, 1][8, 4]0.0
[3, 1][8, 5]0.0
[3, 1][9, 5]0.0
[3, 2][0, 0]0.0
